session_id,start_at,end_at
334,2011-06-29T11:00:00+00:00,2011-06-29T13:00:00+00:00
263,2011-06-30T17:00:00+00:00,2011-06-30T19:00:00+00:00
208,2011-06-30T18:00:00+00:00,2011-06-30T20:00:00+00:00
277,2011-06-29T15:30:00+00:00,2011-06-29T17:30:00+00:00
298,2011-06-29T17:00:00+00:00,2011-06-29T18:00:00+00:00
257,2011-06-29T18:00:00+00:00,2011-06-29T19:00:00+00:00
345,2011-06-30T11:00:00+00:00,2011-06-30T13:00:00+00:00
237,2011-06-30T12:00:00+00:00,2011-06-30T13:00:00+00:00
234,2011-06-30T14:30:00+00:00,2011-06-30T15:30:00+00:00
199,2011-06-30T17:00:00+00:00,2011-06-30T18:00:00+00:00
203,2011-06-29T11:00:00+00:00,2011-06-29T12:00:00+00:00
224,2011-06-30T18:00:00+00:00,2011-06-30T19:00:00+00:00
174,2011-07-01T11:00:00+00:00,2011-07-01T12:00:00+00:00
178,2011-07-01T14:30:00+00:00,2011-07-01T16:30:00+00:00
193,2011-07-01T17:00:00+00:00,2011-07-01T19:00:00+00:00
318,2011-07-01T18:00:00+00:00,2011-07-01T20:00:00+00:00
279,2011-06-29T11:00:00+00:00,2011-06-29T12:00:00+00:00
202,2011-06-29T12:00:00+00:00,2011-06-29T13:00:00+00:00
206,2011-06-29T14:30:00+00:00,2011-06-29T16:30:00+00:00
270,2011-06-29T14:30:00+00:00,2011-06-29T15:30:00+00:00
292,2011-06-29T15:30:00+00:00,2011-06-29T16:30:00+00:00
280,2011-06-29T15:30:00+00:00,2011-06-29T16:30:00+00:00
210,2011-06-29T17:00:00+00:00,2011-06-29T19:00:00+00:00
332,2011-06-30T11:00:00+00:00,2011-06-30T12:00:00+00:00
209,2011-06-30T12:00:00+00:00,2011-06-30T13:00:00+00:00
245,2011-06-30T14:30:00+00:00,2011-06-30T15:30:00+00:00
288,2011-06-30T17:00:00+00:00,2011-06-30T19:00:00+00:00
197,2011-06-29T12:00:00+00:00,2011-06-29T13:00:00+00:00
195,2011-07-01T11:00:00+00:00,2011-07-01T13:00:00+00:00
248,2011-06-29T17:00:00+00:00,2011-06-29T19:00:00+00:00
241,2011-07-01T14:30:00+00:00,2011-07-01T15:30:00+00:00
183,2011-07-01T17:00:00+00:00,2011-07-01T18:00:00+00:00
252,2011-07-01T18:00:00+00:00,2011-07-01T19:00:00+00:00
328,2011-06-29T11:00:00+00:00,2011-06-29T12:00:00+00:00
236,2011-06-29T12:00:00+00:00,2011-06-29T13:00:00+00:00
230,2011-06-29T14:30:00+00:00,2011-06-29T15:30:00+00:00
267,2011-06-29T15:30:00+00:00,2011-06-29T16:30:00+00:00
185,2011-06-29T17:00:00+00:00,2011-06-29T18:00:00+00:00
220,2011-06-29T18:00:00+00:00,2011-06-29T19:00:00+00:00
337,2011-06-30T11:00:00+00:00,2011-06-30T12:00:00+00:00
299,2011-06-30T12:00:00+00:00,2011-06-30T13:00:00+00:00
291,2011-06-30T14:30:00+00:00,2011-06-30T15:30:00+00:00
205,2011-06-30T17:00:00+00:00,2011-06-30T18:00:00+00:00
168,2011-06-30T18:00:00+00:00,2011-06-30T19:00:00+00:00
216,2011-07-01T11:00:00+00:00,2011-07-01T12:00:00+00:00
315,2011-07-01T12:00:00+00:00,2011-07-01T13:00:00+00:00
215,2011-07-01T14:30:00+00:00,2011-07-01T15:30:00+00:00
159,2011-07-01T15:30:00+00:00,2011-07-01T16:30:00+00:00
264,2011-07-01T17:00:00+00:00,2011-07-01T18:00:00+00:00
214,2011-07-01T18:00:00+00:00,2011-07-01T19:00:00+00:00
323,2011-07-01T11:00:00+00:00,2011-07-01T13:00:00+00:00
310,2011-06-29T14:30:00+00:00,2011-06-29T16:30:00+00:00
243,2011-06-29T17:00:00+00:00,2011-06-29T19:00:00+00:00
276,2011-07-01T11:00:00+00:00,2011-07-01T13:00:00+00:00
314,2011-06-30T11:00:00+00:00,2011-06-30T13:00:00+00:00
274,2011-06-30T11:00:00+00:00,2011-06-30T13:00:00+00:00
221,2011-06-30T14:30:00+00:00,2011-06-30T15:30:00+00:00
340,2011-06-30T18:00:00+00:00,2011-06-30T19:00:00+00:00
200,2011-06-29T11:00:00+00:00,2011-06-29T13:00:00+00:00
282,2011-07-01T14:30:00+00:00,2011-07-01T15:30:00+00:00
309,2011-07-01T15:30:00+00:00,2011-07-01T16:30:00+00:00
188,2011-07-01T14:30:00+00:00,2011-07-01T16:30:00+00:00
254,2011-07-01T17:00:00+00:00,2011-07-01T18:00:00+00:00
251,2011-07-01T17:00:00+00:00,2011-07-01T18:00:00+00:00
233,2011-07-01T18:00:00+00:00,2011-07-01T19:00:00+00:00
